location,location_name,product,product_name,supplier,abc_class,service_level,actual_service_level,avg_inventory_value,actual_avg_inventory_value,avg_inventory_units,actual_avg_inventory_units,total_orders,total_order_units,total_ordering_cost,total_actual_demand,total_fulfilled_units,total_lost_sales_units,promo_days,forecast_units,stockout_days,actual_stockout_days,fill_rate,service_level_delta_vs_actual,inventory_value_delta_vs_actual,reorder_point_s,order_up_to_S,lead_time_days,z_value,review_days,purchase_price,sales_price,minimum_delivery_batch
1314,LOJA 1314,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,105913,B,1.0,0.9891304347826086,271.45923913043475,138.02848101265823,3.858695652173913,1.9620253164556962,0,0,0.0,0.0,0.0,0.0,14,0.0,0,1,1.0,0.010869565217391353,133.43075811777652,3,4,9,0.0,0,70.35,77.33,1
1314,LOJA 1314,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,105913,C,1.0,1.0,211.06,211.06000000000003,2.0,2.0,0,0,0.0,0.0,0.0,0.0,14,0.0,0,0,1.0,0.0,-2.842170943040401e-14,1,2,9,0.0,0,105.53,116.25,1
1314,LOJA 1314,57912,LORATAMED D XPE 60ML,51356,C,1.0,1.0,47.74,47.74,2.0,2.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,0.0,1,2,9,0.0,0,23.87,27.81,1
1314,LOJA 1314,58701,ABRILAR XAROPE L-MENTOL 200ML,87021,C,1.0,1.0,123.74804347826088,95.24620253164558,1.891304347826087,1.4556962025316456,1,1,55.87,1.0,1.0,0.0,0,0.0,0,0,1.0,0.0,28.501840946615303,1,2,9,0.0,0,65.43,78.99,1
1314,LOJA 1314,62364,ALOFF XPE 60ML + SER,101141,C,1.0,1.0,72.9,36.45,2.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,36.45,1,2,9,0.0,0,36.45,43.95,1
1314,LOJA 1314,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,51356,C,1.0,1.0,74.52,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,9,0.0,0,37.26,46.88,1
1314,LOJA 1314,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",111893,C,1.0,1.0,16.170652173913044,8.55,1.891304347826087,1.0,1,1,5.22,1.0,1.0,0.0,0,0.0,0,0,1.0,0.0,7.620652173913044,1,2,9,0.0,0,8.55,10.8,1
1314,LOJA 1314,9607,NARIDRIN 12H ADULTO 30ML,173,A,1.0,1.0,222.564347826087,296.52354430379745,7.8478260869565215,10.455696202531646,9,45,128.79,48.0,48.0,0.0,0,0.0,0,0,1.0,0.0,-73.95919647771046,10,15,9,0.0,0,28.36,27.5,1
841,LOJA 841,13315,BROMELIN SUSP 100ML,33104,C,1.0,1.0,111.78,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,3,0.0,0,55.89,74.42,1
841,LOJA 841,1439,SORINE GTS ADULTO 30ML,334,C,0.9565217391304348,0.9565217391304348,38.961739130434786,66.21316455696203,1.8695652173913044,3.1772151898734178,2,3,30.98,3.0,3.0,0.0,0,0.0,4,4,1.0,0.0,-27.25142542652724,1,2,3,0.0,0,20.84,24.3,1
841,LOJA 841,15496,TAMIFLU 75MG CAPS C/10,30697,C,1.0,1.0,554.6,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,3,0.0,0,277.3,346.49,1
841,LOJA 841,15589,ANTUX XAROPE 120ML,334,B,1.0,1.0,179.2388043478261,134.02430379746835,5.010869565217392,3.7468354430379747,2,6,52.16,7.0,7.0,0.0,0,0.0,0,0,1.0,0.0,45.21450055035774,3,6,3,0.0,0,35.77,46.99,1
841,LOJA 841,15590,ANTUX GTS 20ML,334,C,1.0,1.0,90.58695652173913,57.43544303797468,1.9565217391304348,1.240506329113924,1,1,34.63,1.0,1.0,0.0,0,0.0,0,0,1.0,0.0,33.15151348376445,1,2,3,0.0,0,46.3,58.26,1
841,LOJA 841,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,45151,A,0.9891304347826086,1.0,169.51554347826087,368.41430379746834,18.445652173913043,40.08860759493671,4,97,10.28,103.0,102.0,1.0,31,0.0,1,0,0.9902912621359223,-0.010869565217391353,-198.89876031920747,11,33,3,0.0,0,9.19,9.02,1
