date;location;product;balance;value
2023-05-18;1314;35416;1;15.52
2023-05-18;1314;13315;3;109.32
2023-05-18;1314;44217;0;0
2023-05-18;1314;58701;2;103.34
2023-05-18;1314;20635;14;420.98
2023-05-18;1314;31330;4;263.92
2023-02-03;841;57912;1;8.62
2023-02-03;841;15590;1;31.08
2023-02-03;841;62782;2;11.96
2023-02-03;841;35416;1;5.79
2023-02-03;841;21141;1;24.43
2023-02-03;841;15589;2;52.3
2023-02-03;841;51957;4;23.56
2023-02-03;841;35772;0;0
2023-06-05;1314;57912;10;116.1
2023-06-05;1314;62782;1;13.61
2023-06-05;1314;51957;2;24.6
2023-06-05;1314;15589;3;93.57
2023-06-05;1314;48813;2;11.98
2023-06-05;1314;35416;2;30.06
2023-06-05;1314;21141;1;30.85
2023-06-05;1314;48812;6;44.58
2023-06-05;1314;35772;0;0
2023-06-05;1314;18064;250;970
2023-06-05;1314;9607;31;407.96
2023-06-05;1314;1439;4;77.56
2023-06-05;1314;36857;6;18.48
2023-06-05;1314;5345;3;24.66
2023-06-05;1314;13315;1;36.91
2023-06-05;1314;44217;2;82.54
2023-06-05;1314;58701;2;103.34
2023-06-05;1314;20635;13;391.04
2023-06-05;1314;31330;4;263.96
2023-07-11;1314;62364;2;65.16
2023-04-07;1314;62364;2;64.6
2023-08-09;1314;62364;1;32.58
2023-08-02;1314;35416;5;74.8
2023-08-02;1314;48812;7;59.15
2023-08-02;1314;18064;198;768.24
2023-08-02;1314;9607;16;210.72
2023-08-02;1314;1439;3;56.04
2023-08-02;1314;36857;9;27.45
2023-08-02;1314;5345;3;24.84
2023-08-02;1314;57912;7;81.27
2023-08-02;1314;15590;0;0
2023-08-02;1314;62782;1;13.61
2023-08-02;1314;51957;2;24.6
2023-08-02;1314;48813;4;23.96
2023-08-02;1314;15589;7;206.99
2023-08-02;1314;21141;0;0
2023-08-02;1314;44217;2;83.28
2023-08-02;1314;58701;2;103.34
2023-08-02;1314;20635;10;300.8
2023-08-02;1314;31330;1;66.02
2023-08-02;1314;13315;2;84.98
2023-07-18;841;31330;2;103
2023-07-18;841;20635;3;70.11
2023-07-18;841;58701;1;42.86
2023-03-07;841;31330;1;50.39
2023-03-07;841;58701;1;42.8
2023-03-07;841;20635;3;69.66
2023-11-06;1314;62364;1;32.58
2023-05-01;1314;62364;1;32.3
2023-02-16;841;31330;1;50.39
2023-02-16;841;58701;1;42.8
2023-02-16;841;20635;3;69.66
2023-02-08;1314;62364;1;31.12
2023-05-25;1314;51957;2;24.6
2023-05-25;1314;15589;3;94.02
2023-05-25;1314;48813;3;17.97
2023-05-25;1314;35416;5;75.15
2023-05-25;1314;21141;0;0
2023-05-25;1314;48812;8;57.36
2023-05-25;1314;35772;0;0
2023-05-25;1314;18064;231;896.28
2023-05-25;1314;9607;20;263
2023-05-25;1314;1439;5;96.75
2023-05-25;1314;36857;10;30.8
2023-05-25;1314;5345;5;41.1
2023-05-25;1314;13315;2;72.88
2023-05-25;1314;44217;2;82.54
2023-05-25;1314;58701;2;103.34
2023-05-25;1314;20635;13;390.91
2023-05-25;1314;31330;3;197.94
2023-04-18;1314;18064;247;958.36
2023-04-18;1314;9607;21;273.42
2023-04-18;1314;1439;5;93.4
2023-04-18;1314;36857;9;28.44
2023-04-18;1314;5345;3;24.42
2023-04-18;1314;13315;2;70.5
2023-04-18;1314;44217;1;39.41
2023-04-18;1314;57912;11;127.71
2023-04-18;1314;51957;2;24.48
2023-04-18;1314;15589;2;64.22
2023-04-18;1314;62782;1;13.61
2023-04-18;1314;48813;1;5.99
2023-04-18;1314;35416;0;0
2023-04-18;1314;21141;0;0
2023-04-18;1314;48812;2;14.34
2023-04-18;1314;35772;0;0
2023-04-18;1314;58701;2;103.34
2023-04-18;1314;20635;11;330.22
2023-04-18;1314;31330;4;263.84
2023-04-18;841;15590;1;31.08
2023-04-18;841;62782;1;5.98
2023-04-18;841;48812;1;5.98
2023-04-18;841;55917;0;0
2023-04-18;841;48813;1;4.99
2023-04-18;841;35416;1;5.79
2023-04-18;841;21141;1;25.63
2023-04-18;841;15589;2;52.98
2023-04-18;841;51957;4;23
2023-04-18;841;35772;1;11.29
2023-04-18;841;1439;3;45.3
2023-04-18;841;18064;110;247.5
